"ParkName","Region","State","Year","RecreationVisits"
"Yellowstone NP","Intermountain","WY","1979","1892908"
"Yellowstone NP","Intermountain","WY","1980","2000269"
"Yellowstone NP","Intermountain","WY","1981","2521831"
"Yellowstone NP","Intermountain","WY","1982","2368897"
"Yellowstone NP","Intermountain","WY","1983","2347242"
"Yellowstone NP","Intermountain","WY","1984","2222027"
"Yellowstone NP","Intermountain","WY","1985","2226159"
"Yellowstone NP","Intermountain","WY","1986","2363756"
"Yellowstone NP","Intermountain","WY","1987","2573194"
"Yellowstone NP","Intermountain","WY","1988","2182113"
"Yellowstone NP","Intermountain","WY","1989","2644442"
"Yellowstone NP","Intermountain","WY","1990","2823572"
"Yellowstone NP","Intermountain","WY","1991","2920537"
"Yellowstone NP","Intermountain","WY","1992","3144405"
"Yellowstone NP","Intermountain","WY","1993","2912193"
"Yellowstone NP","Intermountain","WY","1994","3046145"
"Yellowstone NP","Intermountain","WY","1995","3125285"
"Yellowstone NP","Intermountain","WY","1996","3012171"
"Yellowstone NP","Intermountain","WY","1997","2889513"
"Yellowstone NP","Intermountain","WY","1998","3120830"
"Yellowstone NP","Intermountain","WY","1999","3131381"
"Yellowstone NP","Intermountain","WY","2000","2838233"
"Yellowstone NP","Intermountain","WY","2001","2758526"
"Yellowstone NP","Intermountain","WY","2002","2973677"
"Yellowstone NP","Intermountain","WY","2003","3019375"
"Yellowstone NP","Intermountain","WY","2004","2868317"
"Yellowstone NP","Intermountain","WY","2005","2835651"
"Yellowstone NP","Intermountain","WY","2006","2870295"
"Yellowstone NP","Intermountain","WY","2007","3151343"
"Yellowstone NP","Intermountain","WY","2008","3066580"
"Yellowstone NP","Intermountain","WY","2009","3295187"
"Yellowstone NP","Intermountain","WY","2010","3640185"
"Yellowstone NP","Intermountain","WY","2011","3394326"
"Yellowstone NP","Intermountain","WY","2012","3447729"
"Yellowstone NP","Intermountain","WY","2013","3188030"
"Yellowstone NP","Intermountain","WY","2014","3513484"
"Yellowstone NP","Intermountain","WY","2015","4097710"
"Yellowstone NP","Intermountain","WY","2016","4257177"
"Yellowstone NP","Intermountain","WY","2017","4116524"
"Yellowstone NP","Intermountain","WY","2018","4115000"
"Yellowstone NP","Intermountain","WY","2019","4020288"
"Yellowstone NP","Intermountain","WY","2020","3806306"
"Yellowstone NP","Intermountain","WY","2021","4860242"
"Yellowstone NP","Intermountain","WY","2022","3290242"
"Yellowstone NP","Intermountain","WY","2023","4501382"
"Yellowstone NP","Intermountain","WY","2024","4744353"
"Yosemite NP","Pacific West","CA","1979","2350782"
"Yosemite NP","Pacific West","CA","1980","2490282"
"Yosemite NP","Pacific West","CA","1981","2516893"
"Yosemite NP","Pacific West","CA","1982","2415587"
"Yosemite NP","Pacific West","CA","1983","2457464"
"Yosemite NP","Pacific West","CA","1984","2738467"
"Yosemite NP","Pacific West","CA","1985","2831952"
"Yosemite NP","Pacific West","CA","1986","2876717"
"Yosemite NP","Pacific West","CA","1987","3152275"
"Yosemite NP","Pacific West","CA","1988","3216681"
"Yosemite NP","Pacific West","CA","1989","3308159"
"Yosemite NP","Pacific West","CA","1990","3124939"
"Yosemite NP","Pacific West","CA","1991","3423101"
"Yosemite NP","Pacific West","CA","1992","3819518"
"Yosemite NP","Pacific West","CA","1993","3839645"
"Yosemite NP","Pacific West","CA","1994","3962117"
"Yosemite NP","Pacific West","CA","1995","3958406"
"Yosemite NP","Pacific West","CA","1996","4046207"
"Yosemite NP","Pacific West","CA","1997","3669970"
"Yosemite NP","Pacific West","CA","1998","3657132"
"Yosemite NP","Pacific West","CA","1999","3493607"
"Yosemite NP","Pacific West","CA","2000","3400903"
"Yosemite NP","Pacific West","CA","2001","3368731"
"Yosemite NP","Pacific West","CA","2002","3361867"
"Yosemite NP","Pacific West","CA","2003","3378664"
"Yosemite NP","Pacific West","CA","2004","3280911"
"Yosemite NP","Pacific West","CA","2005","3304144"
"Yosemite NP","Pacific West","CA","2006","3242644"
"Yosemite NP","Pacific West","CA","2007","3503428"
"Yosemite NP","Pacific West","CA","2008","3431514"
"Yosemite NP","Pacific West","CA","2009","3737472"
"Yosemite NP","Pacific West","CA","2010","3901408"
"Yosemite NP","Pacific West","CA","2011","3951393"
"Yosemite NP","Pacific West","CA","2012","3853404"
"Yosemite NP","Pacific West","CA","2013","3691191"
"Yosemite NP","Pacific West","CA","2014","3882642"
"Yosemite NP","Pacific West","CA","2015","4150217"
"Yosemite NP","Pacific West","CA","2016","5028868"
"Yosemite NP","Pacific West","CA","2017","4336890"
"Yosemite NP","Pacific West","CA","2018","4009436"
"Yosemite NP","Pacific West","CA","2019","4422861"
"Yosemite NP","Pacific West","CA","2020","2268313"
"Yosemite NP","Pacific West","CA","2021","3287595"
"Yosemite NP","Pacific West","CA","2022","3667550"
"Yosemite NP","Pacific West","CA","2023","3897070"
"Yosemite NP","Pacific West","CA","2024","4121807"
